epoch,train_loss,train_dice,val_loss,val_dice,lat_norm2
456,0.067642,0.9567,0.480818,0.7533,1.9910
457,0.067890,0.9562,0.445589,0.7651,1.7644
458,0.070373,0.9547,0.506807,0.7528,1.9489
459,0.082542,0.9468,0.429940,0.7685,1.7630
460,0.074078,0.9521,0.561519,0.7362,1.9921
461,0.075576,0.9511,0.519063,0.7459,1.8862
462,0.079996,0.9482,0.543867,0.7412,1.7377
463,0.075012,0.9512,0.453391,0.7614,1.8451
464,0.071835,0.9534,0.456522,0.7619,1.9381
465,0.069737,0.9548,0.436457,0.7680,1.8547
466,0.068122,0.9561,0.411324,0.7743,1.7850
467,0.069738,0.9549,0.476801,0.7591,1.7117
468,0.073114,0.9526,0.432292,0.7695,1.7367
469,0.072696,0.9522,0.451882,0.7642,2.0129
470,0.066739,0.9569,0.454338,0.7667,1.8581
471,0.065684,0.9576,0.452519,0.7664,2.0395
472,0.067360,0.9565,0.460491,0.7617,1.8100
473,0.066101,0.9572,0.492067,0.7568,1.7905
474,0.067273,0.9563,0.457755,0.7651,1.9733
475,0.067140,0.9567,0.440597,0.7720,1.9999
476,0.074862,0.9510,0.484324,0.7594,1.7254
477,0.076153,0.9503,0.503813,0.7530,1.8442
478,0.081816,0.9476,0.583453,0.7381,1.8658
479,0.094914,0.9388,0.541835,0.7455,1.8417
480,0.086450,0.9439,0.437468,0.7692,1.9730
481,0.081551,0.9470,0.493593,0.7562,1.7953
482,0.075444,0.9511,0.506635,0.7505,1.8201
483,0.075127,0.9515,0.497634,0.7536,1.8767
484,0.075949,0.9500,0.516118,0.7493,1.8928
485,0.068611,0.9555,0.495183,0.7519,2.1538
486,0.068870,0.9557,0.501578,0.7549,2.2795
487,0.070403,0.9548,0.527345,0.7493,1.8752
488,0.079850,0.9478,0.383174,0.7916,1.7993
489,0.079423,0.9477,0.393707,0.7815,2.0087
490,0.086701,0.9441,0.534099,0.7464,1.7975
491,0.094263,0.9394,0.451500,0.7632,2.0945
492,0.108793,0.9309,0.503794,0.7459,1.8075
493,0.089391,0.9418,0.433645,0.7636,1.7558
494,0.070363,0.9546,0.434634,0.7629,2.0453
495,0.069734,0.9551,0.519046,0.7491,1.7784
496,0.068883,0.9553,0.479895,0.7609,2.0362
497,0.075771,0.9501,0.608354,0.7332,1.7789
498,0.102611,0.9346,0.584823,0.7364,2.0157
499,0.094649,0.9386,0.527166,0.7488,1.9556
500,0.085303,0.9449,0.598180,0.7294,1.9180
501,0.105813,0.9335,0.451383,0.7625,1.9137
502,0.094631,0.9396,0.415789,0.7700,1.8026
503,0.094038,0.9392,0.515841,0.7430,1.8085
504,0.080703,0.9475,0.443104,0.7613,1.8955
505,0.070250,0.9550,0.395533,0.7772,1.7350
506,0.070423,0.9547,0.441089,0.7647,1.8407
507,0.068827,0.9555,0.422309,0.7697,1.8187
508,0.070048,0.9544,0.482295,0.7573,1.9630
509,0.067813,0.9561,0.464029,0.7624,1.8446
510,0.063955,0.9589,0.516477,0.7487,1.8520
511,0.060604,0.9614,0.487512,0.7568,1.8686
512,0.060214,0.9617,0.499565,0.7543,1.8748
